Meter Read Date,Days,Meter ID,Meter Read Method,Actual read,Usage (kWh),Demand (kWh),Average Daily Usage (kWh)
04/13/2023,33,000000000289304305,Regular Remote Read,33474.83,674.00,0.00,20.42
05/11/2023,27,000000000289304305,Regular Remote Read,34105.87,631.00,0.00,23.37
03/10/2022,29,000000000289304305,Regular Remote Read,1922958.23,418.00,0.00,14.41
04/08/2022,29,000000000289304305,Regular Remote Read,1677270.47,456.00,0.00,15.72
05/10/2022,32,000000000289304305,Regular Remote Read,1447031.67,696.00,0.00,21.75
06/09/2022,30,000000000289304305,Regular Remote Read,1230762.57,1397.00,0.00,46.57
07/11/2022,32,000000000289304305,Regular Remote Read,1023525.78,1881.00,0.00,58.78
08/09/2022,29,000000000289304305,Regular Remote Read,824273.54,2191.00,0.00,75.55
09/08/2022,30,000000000289304305,Regular Remote Read,634590.83,2002.00,0.00,66.73
10/07/2022,29,000000000289304305,Regular Remote Read,459995.15,827.00,0.00,28.52
11/07/2022,31,000000000289304305,Regular Remote Read,310371.85,485.00,0.00,15.65
12/09/2022,32,000000000289304305,Regular Remote Read,188740.61,574.00,0.00,17.94
01/10/2023,32,000000000289304305,Regular Remote Read,95793.05,745.00,0.00,23.28
02/09/2023,30,000000000289304305,Regular Remote Read,32335.63,607.00,0.00,20.23
03/10/2023,29,000000000289304305,Meter reading by utility - SAP,32800.00,470.00,0.00,16.21